x1,x2,x3,x4,y
26.173,58.867,-0.1894697,125.1225,1
57.07397,221.404,0.08607959,122.9114,1
17.259,173.436,-0.1298053,125.0318,1
21.7794,124.9531,0.1538853,152.715,1
91.33997,293.5699,0.1423918,160.5402,1
55.375,179.222,0.1654953,111.2273,1
29.562,191.357,0.09901439,103.4076,1
145.12,208.86,-0.1760859,154.2257,1
38.49699,41.466,-0.1886419,123.9661,1
29.27699,107.251,0.1149632,107.7885,1
28.867,109.024,-0.1239433,97.9913,1
24.013,76.02,0.285099,98.91692,1
28.379,145.216,0.3870011,154.9975,1
22.3814,82.4281,-0.2814865,89.98764,1
123.21,456.16,-0.1518468,143.2996,1
20.08405,177.451,0.2578101,92.53101,1
32.85699,182.675,0.2204406,94.57175,1
0.0,115.478,0.150497,109.6315,1
39.54504,237.442,0.1089429,137.6333,1
106.798,323.756,-0.1509505,175.4021,1
34.082,119.828,0.2200156,138.3639,1
0.0,86.7108,0.420188,129.8851,1
48.65997,307.15,0.1756066,164.0174,1
23.4109,83.4714,0.1766868,98.0325,1
122.239,435.793,-0.1812907,168.7663,1
16.2456,48.3062,0.5508614,26.32639,1
43.89899,242.13,0.2006008,133.1948,1
61.43698,233.85,0.2758731,161.2433,1
59.52499,217.67,-0.08601014,117.0831,1
29.1585,125.9875,0.1910455,127.9927,1
50.59702,243.062,0.1863443,135.2273,1
60.24097,197.734,-0.1319924,132.022,1
26.2049,62.7079,-0.140245,113.5866,1
28.47198,148.376,-0.1868249,167.2337,1
27.0799,77.7039,-0.2509235,97.98032,1
20.686,84.468,0.1761782,119.9423,1
19.6245,49.2309,0.4302725,93.61318,1
49.61401,323.485,-0.1963741,162.2486,1
79.82401,201.754,-0.1412161,131.0716,1
66.96402,221.403,-0.1187778,141.6626,1
58.42999,134.861,0.2876077,128.6684,1
69.82007,369.3401,-0.1539849,151.1659,1
19.022,221.012,0.168945,136.8066,1
45.82898,221.595,0.2419124,162.71,1
50.12195,340.594,-0.2004177,173.5482,1
97.3279,83.6299,0.3004524,92.68482,1
62.138,244.5,-0.2045531,144.239,1
24.457,142.604,-0.2302375,91.75098,1
37.86899,197.708,0.09417659,110.7027,1
123.73,178.77,-0.1441443,130.352,1
41.8037,121.0217,-0.1792956,140.4431,1
32.3706,102.0206,-0.0857908,125.3724,1
37.9575,67.9255,-0.2099991,152.0504,1
36.256,90.028,-0.1349387,139.8553,1
23.5141,153.6969,-0.1169007,117.8439,1
25.043,195.966,0.1230792,105.0391,1
21.51999,103.0,0.2982677,124.8862,1
20.7173,50.1779,0.1636157,118.7613,1
20.5763,65.2607,0.3237194,114.1607,1
23.78099,129.774,0.1596782,107.5001,1
56.26801,188.294,-0.1361132,140.0558,1
23.642,151.537,-0.2189088,91.83887,1
31.36601,91.29401,0.2184253,142.0142,1
55.93298,308.106,-0.1353047,156.4504,1
45.746,188.873,0.09065958,129.8741,1
22.548,144.287,0.15148,117.9153,1
43.43298,201.142,-0.1850777,136.0046,1
19.02501,100.994,0.2232255,122.3841,1
29.56006,56.53003,0.2784214,164.6464,1
33.14001,214.8301,-0.113854,94.21469,1
28.3723,52.6541,-0.3765493,134.9389,1
22.81599,68.18298,0.2088072,162.9902,1
107.96,426.329,0.1836555,161.2625,1
25.9741,79.5938,-0.2461588,98.93889,1
48.3483,179.8393,-0.318316,174.3914,1
19.7492,45.8642,-0.1964635,134.1424,1
41.04199,161.264,0.1591512,111.8727,1
24.9733,117.708,-0.3051164,164.3772,1
21.8378,17.2425,-0.4093676,107.8929,1
90.125,105.859,0.1675169,166.9783,1
19.8109,86.19101,0.2891504,150.8858,1
133.704,423.4241,-0.1397143,168.7031,1
25.72598,199.071,-0.2194515,91.55596,1
30.9354,97.29181,-0.0967374,148.2518,1
29.211,176.555,0.3540535,152.2124,1
31.4923,71.82829,-0.1760218,123.4992,1
21.644,73.9961,-0.2648312,157.1783,1
20.8785,92.2616,0.1469187,119.0167,1
25.478,116.22,-0.1509489,103.902,1
24.42801,149.011,-0.09140104,160.8258,1
101.7999,143.13,0.1561447,146.4445,1
133.717,530.427,-0.1441823,150.1387,1
21.668,71.211,0.2286803,104.5063,1
18.82098,87.70099,0.1093747,69.35226,1
43.10399,205.986,0.176378,160.2271,1
33.0,190.282,-0.1433576,147.0817,1
29.858,112.33,-0.1596831,93.77798,1
30.45,131.288,-0.1449632,97.56283,1
87.06299,308.712,-0.1642287,159.7162,1
64.33502,177.46,0.1431059,127.2456,1
29.39799,145.365,-0.2487779,146.5296,1
24.971,86.212,0.2084478,144.791,1
21.882,104.326,-0.1929159,154.4893,1
26.32098,225.844,-0.1376455,86.96635,1
23.9763,60.1777,-0.392868,155.3271,1
36.33099,132.271,-0.1338904,104.564,1
22.55,99.0742,0.235968,99.85901,1
22.8266,77.73849,-0.1647308,122.3429,1
